"name","base_location","base_country","base_classification","location_precision","investment_focus","stage_focus","geographic_investment_focus","linkedin_profile_url","public_contact_email","public_contact_email_source_url","primary_focus_source_url","notes","current_company_or_firm","company_website","company_source","website_type"
"Aadil Mamujee","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","SaaS, Software, Cryptocurrency","Seed, Pre-Seed, Series B","United States, India, Kenya","https://www.linkedin.com/in/amamujee","","","https://shizune.co/investors/health-care-angel-investors-africa","","","","",""
"Aaron Fu","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","Financial Services, Software, Apps","Seed, Pre-Seed","Kenya, Nigeria, Egypt","https://www.linkedin.com/in/aaronqfu","","","https://shizune.co/investors/angel-investors-kenya","","","http://aaronfu.com","","public_website"
"Abdo Achkar","Stanford, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Marketplace, Software","Pre-Seed, Seed, Series B","United States, Lebanon, Japan","https://www.linkedin.com/in/achkar","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Abdul Majeed Al Hokair","","","Unresolved","unresolved","Restaurants, Food and Beverage","Pre-Seed, Funding Round","Egypt","https://sa.linkedin.com/in/abdulmajeed-alhokair-14b6a0136","","","https://shizune.co/investors/food-and-beverage-angel-investors-egypt","","","","",""
"Abdulhamid Hassan","","","Unresolved","unresolved","B2B, FinTech, Payments","Seed","Nigeria","https://www.linkedin.com/in/ijbkid","","","https://shizune.co/investors/b2b-angel-investors-africa","","Mono","https://mono.co/","Official linked site metadata","company_or_firm_site"
"Addis Alemayehou","Addis Ababa, Adis Abeba, Ethiopia","Ethiopia","Africa-based","exact_public","E-Commerce","Seed","Ethiopia","http://www.linkedin.com/pub/addis-alemayehou/39/510/189","","","https://shizune.co/investors/marketplace-angel-investors-africa","","","","",""
"Adedayo Amzat","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Financial Services, Banking, Payments","Pre-Seed","Nigeria, Cameroon, United Kingdom","https://www.linkedin.com/in/adedayoamzat","","","https://shizune.co/investors/angel-investors-cameroon","","","","",""
"Adeniyi Adesuyi","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","FinTech, Insurance, Blockchain, Other, Payments, Software","Seed","Nigeria","https://www.linkedin.com/in/niyiadesuyi","","","https://shizune.co/investors/blockchain-angel-investors-africa","","","","",""
"Adii Pienaar","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","E-Commerce, Apps, FinTech","Seed, Funding Round","United States, Nigeria","http://www.linkedin.com/in/adiipienaar","","","https://shizune.co/investors/marketplace-angel-investors-nigeria","","","http://adii.me","","public_website"
"Ahmed Abdelhamid","","","Unresolved","unresolved","Aerospace, Biopharma, Life Science","Seed, Convertible Note","Egypt, United States","https://www.linkedin.com/in/ahmedabdelhamid","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Ahmed Medhat","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Artificial Intelligence, Information Technology, Machine Learning","Seed, Pre-Seed","United States, United Kingdom, Egypt","https://www.linkedin.com/in/ahmedmedhatm","","","https://shizune.co/investors/saas-angel-investors-egypt","","","","",""
"Ahmed Mhiri","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Software, Information Technology, E-Commerce","Seed, Pre-Seed, Angel","France, Tunisia, United States","https://www.linkedin.com/in/ahmedmhiri","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Akitoye Balogun","","","Unresolved","unresolved","Education","Pre-Seed","Rwanda","https://ng.linkedin.com/in/akitoye-balogun-47b971a3","","","https://shizune.co/investors/angel-investors-rwanda","","","","",""
"Al Sharif Nawaf Faiez Al Abdelhakim","","","Unresolved","unresolved","FinTech, Human Resources, Health Insurance","Pre-Seed","Egypt","https://www.linkedin.com/in/al-sharif-nawaf-faiez-al-abdelhakim-43323583","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
